model,corruption,severity,class,f1
finetune,motion_blur,1,Tomato___Leaf_Mold,0.961038961038961
finetune,motion_blur,1,Tomato___Septoria_leaf_spot,0.9558823529411765
finetune,motion_blur,1,Tomato___Spider_mites_Two-spotted_spider_mite,0.9852941176470589
finetune,motion_blur,1,Tomato___Target_Spot,0.9636363636363636
finetune,motion_blur,1,Tomato___Tomato_Yellow_Leaf_Curl_Virus,0.9861751152073732
finetune,motion_blur,1,Tomato___Tomato_mosaic_virus,0.967741935483871
finetune,motion_blur,1,Tomato___healthy,0.9921259842519685
frozen,motion_blur,1,Apple___Apple_scab,0.9130434782608695
frozen,motion_blur,1,Apple___Black_rot,0.7804878048780488
frozen,motion_blur,1,Apple___Cedar_apple_rust,0.9090909090909091
frozen,motion_blur,1,Apple___healthy,0.9105691056910569
frozen,motion_blur,1,Blueberry___healthy,0.8955223880597015
frozen,motion_blur,1,Cherry_(including_sour)___Powdery_mildew,0.8260869565217391
frozen,motion_blur,1,Cherry_(including_sour)___healthy,0.9315068493150684
frozen,motion_blur,1,Corn_(maize)___Cercospora_leaf_spot_Gray_leaf_spot,0.7894736842105263
frozen,motion_blur,1,Corn_(maize)___Common_rust_,1.0
frozen,motion_blur,1,Corn_(maize)___Northern_Leaf_Blight,0.8974358974358975
frozen,motion_blur,1,Corn_(maize)___healthy,1.0
frozen,motion_blur,1,Grape___Black_rot,0.7407407407407407
frozen,motion_blur,1,Grape___Esca_(Black_Measles),0.8666666666666667
frozen,motion_blur,1,Grape___Leaf_blight_(Isariopsis_Leaf_Spot),0.7352941176470589
frozen,motion_blur,1,Grape___healthy,0.8387096774193549
frozen,motion_blur,1,Orange___Haunglongbing_(Citrus_greening),0.9839816933638444
frozen,motion_blur,1,Peach___Bacterial_spot,0.874251497005988
frozen,motion_blur,1,Peach___healthy,0.8888888888888888
frozen,motion_blur,1,"Pepper,_bell___Bacterial_spot",0.8108108108108109
frozen,motion_blur,1,"Pepper,_bell___healthy",0.8648648648648649
frozen,motion_blur,1,Potato___Early_blight,0.9487179487179487
frozen,motion_blur,1,Potato___Late_blight,0.825
frozen,motion_blur,1,Potato___healthy,0.7272727272727273
frozen,motion_blur,1,Raspberry___healthy,0.9655172413793104
frozen,motion_blur,1,Soybean___healthy,0.9537712895377128
frozen,motion_blur,1,Squash___Powdery_mildew,0.9420289855072463
frozen,motion_blur,1,Strawberry___Leaf_scorch,0.9555555555555556
frozen,motion_blur,1,Strawberry___healthy,0.9142857142857143
frozen,motion_blur,1,Tomato___Bacterial_spot,0.608
