model,corruption,severity,class,f1,clean_f1,f1_drop
finetune,jpeg,3,Apple___Cedar_apple_rust,0.1666666666666666,1.0,0.8333333333333334
frozen,low_light,3,Tomato___Leaf_Mold,0.099601593625498,0.9315068493150684,0.8319052556895704
frozen,low_light,3,Tomato___Early_blight,0.0,0.8266666666666667,0.8266666666666667
finetune,low_light,3,Tomato___Septoria_leaf_spot,0.1785714285714285,1.0,0.8214285714285715
finetune,jpeg,3,Blueberry___healthy,0.1818181818181818,1.0,0.8181818181818182
finetune,low_light,2,Tomato___Septoria_leaf_spot,0.1885790172642762,1.0,0.8114209827357238
frozen,motion_blur,3,Tomato___Septoria_leaf_spot,0.1298701298701298,0.9361702127659576,0.8063000828958278
frozen,motion_blur,2,Grape___Black_rot,0.1923076923076923,0.9894736842105264,0.7971659919028341
frozen,low_light,3,Tomato___healthy,0.1769616026711185,0.9692307692307692,0.7922691665596507
frozen,jpeg,3,Tomato___Leaf_Mold,0.1395348837209302,0.9315068493150684,0.7919719655941382
frozen,motion_blur,3,Grape___healthy,0.2105263157894736,1.0,0.7894736842105264
frozen,motion_blur,3,Raspberry___healthy,0.2105263157894736,1.0,0.7894736842105264
finetune,motion_blur,3,"Pepper,_bell___healthy",0.2121212121212121,1.0,0.7878787878787878
finetune,low_light,3,Peach___Bacterial_spot,0.2123893805309734,1.0,0.7876106194690267
frozen,low_light,3,"Pepper,_bell___healthy",0.1791044776119403,0.9661016949152542,0.786997217303314
finetune,low_light,2,Tomato___Spider_mites_Two-spotted_spider_mite,0.2133333333333333,1.0,0.7866666666666667
frozen,low_light,3,Apple___Apple_scab,0.2181818181818181,1.0,0.781818181818182
frozen,low_light,3,Tomato___Septoria_leaf_spot,0.1548821548821548,0.9361702127659576,0.7812880578838028
frozen,motion_blur,3,Apple___Black_rot,0.2068965517241379,0.9803921568627452,0.7734956051386073
frozen,motion_blur,2,Tomato___Bacterial_spot,0.1505376344086021,0.9230769230769232,0.7725392886683211
finetune,low_light,3,"Pepper,_bell___Bacterial_spot",0.2297297297297297,1.0,0.7702702702702703
finetune,motion_blur,3,Squash___Powdery_mildew,0.238095238095238,1.0,0.761904761904762
finetune,motion_blur,3,Corn_(maize)___healthy,0.2446808510638297,1.0,0.7553191489361704
finetune,low_light,2,Tomato___Target_Spot,0.2461538461538461,1.0,0.7538461538461538
frozen,motion_blur,3,Grape___Leaf_blight_(Isariopsis_Leaf_Spot),0.2352941176470588,0.9882352941176472,0.7529411764705884
frozen,motion_blur,3,Potato___Late_blight,0.2,0.95,0.75
frozen,low_light,3,Potato___healthy,0.25,1.0,0.75
frozen,motion_blur,3,Cherry_(including_sour)___Powdery_mildew,0.2317073170731707,0.975609756097561,0.7439024390243902
frozen,low_light,3,Tomato___Tomato_Yellow_Leaf_Curl_Virus,0.2386831275720164,0.976851851851852,0.7381687242798356
frozen,low_light,2,Squash___Powdery_mildew,0.2588235294117647,0.9931972789115646,0.7343737494997999
frozen,motion_blur,2,Tomato___Septoria_leaf_spot,0.2093023255813953,0.9361702127659576,0.7268678871845623
finetune,low_light,3,Strawberry___Leaf_scorch,0.2838283828382838,1.0,0.7161716171617162
frozen,motion_blur,2,Potato___healthy,0.2857142857142857,1.0,0.7142857142857143
finetune,motion_blur,2,Potato___healthy,0.2857142857142857,1.0,0.7142857142857143
frozen,low_light,3,Grape___Leaf_blight_(Isariopsis_Leaf_Spot),0.2745098039215686,0.9882352941176472,0.7137254901960786
finetune,jpeg,3,"Pepper,_bell___healthy",0.2898550724637681,1.0,0.7101449275362319
finetune,motion_blur,3,Apple___Apple_scab,0.3037974683544304,1.0,0.6962025316455696
finetune,low_light,2,Soybean___healthy,0.3057851239669421,1.0,0.694214876033058
frozen,low_light,3,Strawberry___Leaf_scorch,0.3076923076923077,1.0,0.6923076923076923
frozen,jpeg,3,Tomato___Early_blight,0.1403508771929824,0.8266666666666667,0.6863157894736842
finetune,motion_blur,3,Tomato___Target_Spot,0.3283582089552239,1.0,0.6716417910447761
frozen,jpeg,3,Tomato___Septoria_leaf_spot,0.2660753880266075,0.9361702127659576,0.6700948247393501
finetune,motion_blur,3,Tomato___Bacterial_spot,0.3269230769230769,0.9940828402366864,0.6671597633136095
finetune,motion_blur,3,Raspberry___healthy,0.3333333333333333,1.0,0.6666666666666667
finetune,low_light,2,Potato___Late_blight,0.3333333333333333,1.0,0.6666666666666667
frozen,motion_blur,3,Apple___Cedar_apple_rust,0.2857142857142857,0.9523809523809524,0.6666666666666667
finetune,motion_blur,2,Potato___Early_blight,0.3333333333333333,1.0,0.6666666666666667
frozen,motion_blur,3,"Pepper,_bell___healthy",0.3055555555555556,0.9661016949152542,0.6605461393596986
frozen,low_light,3,Cherry_(including_sour)___Powdery_mildew,0.32,0.975609756097561,0.6556097560975609
frozen,motion_blur,3,Corn_(maize)___healthy,0.3511450381679389,1.0,0.6488549618320612
frozen,motion_blur,2,Apple___Cedar_apple_rust,0.3076923076923077,0.9523809523809524,0.6446886446886447
finetune,low_light,3,Corn_(maize)___Common_rust_,0.3555555555555555,1.0,0.6444444444444445
frozen,low_light,2,Tomato___Bacterial_spot,0.2828282828282828,0.9230769230769232,0.6402486402486405
