model,trainable_parameters,total_parameters,epochs_completed,best_epoch,training_time_minutes,test_accuracy,test_macro_f1,errors,mean_confidence_correct,mean_confidence_incorrect,inference_device,peak_gpu_memory_mb,latency_ms_image_batch1,latency_ms_image_batch64
finetune,23585894,23585894,16,11,9.9,0.9986168741355463,0.997629350357287,3,0.9987265467643738,0.8593826293945312,cpu,,,
frozen,77862,23585894,47,42,14.7,0.9695712309820194,0.9664261949773578,66,0.9361088275909424,0.5313558578491211,cuda,773.1,4.741,0.314
